source.message,dataset,timestamp,$workers.truncated,$workers.event.request.url,$workers.event.request.method,$workers.event.request.path,$workers.outcome,$workers.scriptName,$workers.eventType,$workers.executionModel,$workers.scriptVersion.id,$workers.requestId,$metadata.id,$metadata.requestId,$metadata.trigger,$metadata.service,$metadata.message,$metadata.account,$metadata.type,$metadata.fingerprint,$metadata.origin,$metadata.messageTemplate,$metadata.startTime,$metadata.endTime,$metadata.now
websocket:message,cloudflare-workers,2026-04-03T02:00:41.292Z,false,,,,ok,mansion-deseo-api-production,websocket,durableObject,85ef149b-3cc8-40c2-bcef-c52918c758d5,S65Q1Q0AHRAEKRUR,01KN8H5S3J2T5458D34HR4CBBD,S65Q1Q0AHRAEKRUR,mansion-deseo-api-production,mansion-deseo-api-production,websocket:message,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,websocket,websocket:message,undefined,undefined,undefined
"[route-metrics] {""windowMs"":148048,""requestCount"":3,""routes"":[{""method"":""GET"",""route"":""/api/chat/ws/:chatId"",""count"":1,""avgMs"":426,""maxMs"":426,""statusCounts"":{""101"":1}},{""method"":""GET"",""route"":""/api/visits"",""count"":1,""avgMs"":296,""maxMs"":296,""statusCounts"":{""200"":1}},{""method"":""GET"",""route"":""/api/unread-count"",""count"":1,""avgMs"":727,""maxMs"":727,""statusCounts"":{""200"":1}}]}",cloudflare-workers,2026-04-03T02:00:08.994Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/unread-count,GET,/api/unread-count,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e647a5baa7535c2,01KN8H3E12M18BBEGVV3A572ND,9e647a5baa7535c2,GET /api/unread-count,mansion-deseo-api-production,"[route-metrics] {""windowMs"":148048,""requestCount"":3,""routes"":[{""method"":""GET"",""route"":""/api/chat/ws/:chatId"",""count"":1,""avgMs"":426,""maxMs"":426,""statusCounts"":{""101"":1}},{""method"":""GET"",""route"":""/api/visits"",""count"":1,""avgMs"":296,""maxMs"":296,""statusCounts"":{""200"":1}},{""method"":""GET"",""route"":""/api/unread-count"",""count"":1,""avgMs"":727,""maxMs"":727,""statusCounts"":{""200"":1}}]}",f251d9341172cd4fa210cc7a0308adc6,cf-worker,b736bad4064d7d407ec5325526018f20,fetch,"[route-metrics] {""windowMs"":148048,""requestCount"":3,""routes"":[{""method"":""GET"",""route"":""/api/chat/ws/:chatId"",""count"":1,""avgMs"":426,""maxMs"":426,""statusCounts"":{""101"":1}},{""method"":""GET"",""route"":""/api/visits"",""count"":1,""avgMs"":296,""maxMs"":296,""statusCounts"":{""200"":1}},{""method"":""GET"",""route"":""/api/unread-count"",""count"":1,""avgMs"":727,""maxMs"":727,""statusCounts"":{""200"":1}}]}",undefined,undefined,undefined
GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/unread-count,cloudflare-workers,2026-04-03T02:00:08.267Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/unread-count,GET,/api/unread-count,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e647a5baa7535c2,01KN8H3DABC13J82K2C9DVAZXR,9e647a5baa7535c2,GET /api/unread-count,mansion-deseo-api-production,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/unread-count,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,fetch,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/unread-count,undefined,undefined,undefined
websocket:message,cloudflare-workers,2026-04-03T01:59:56.288Z,false,,,,ok,mansion-deseo-api-production,websocket,durableObject,85ef149b-3cc8-40c2-bcef-c52918c758d5,5QW1KX88MSN1N93S,01KN8H3S07C35WXR9Y4VN661CH,5QW1KX88MSN1N93S,mansion-deseo-api-production,mansion-deseo-api-production,websocket:message,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,websocket,websocket:message,undefined,undefined,undefined
websocket:message,cloudflare-workers,2026-04-03T01:59:11.276Z,false,,,,ok,mansion-deseo-api-production,websocket,durableObject,85ef149b-3cc8-40c2-bcef-c52918c758d5,OCWBVMBNIDU6RINX,01KN8H24VPN1M7S354ZS7VAWA0,OCWBVMBNIDU6RINX,mansion-deseo-api-production,mansion-deseo-api-production,websocket:message,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,websocket,websocket:message,undefined,undefined,undefined
websocket:message,cloudflare-workers,2026-04-03T01:58:26.279Z,false,,,,ok,mansion-deseo-api-production,websocket,durableObject,85ef149b-3cc8-40c2-bcef-c52918c758d5,K6UL37J5NT3N2VU8,01KN8H1AEFW6TDD3JC9TX8C1Q1,K6UL37J5NT3N2VU8,mansion-deseo-api-production,mansion-deseo-api-production,websocket:message,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,websocket,websocket:message,undefined,undefined,undefined
GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/visits,cloudflare-workers,2026-04-03T01:57:48.617Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/visits,GET,/api/visits,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e6476f2dff635c2,01KN8GZ4Y926668M4B84FQPSBE,9e6476f2dff635c2,GET /api/visits,mansion-deseo-api-production,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/visits,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,fetch,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/visits,undefined,undefined,undefined
websocket:message,cloudflare-workers,2026-04-03T01:57:41.067Z,false,,,,ok,mansion-deseo-api-production,websocket,durableObject,85ef149b-3cc8-40c2-bcef-c52918c758d5,134MXYY8CZRHCQKN,01KN8GZFYP4FWCTTPMRFBFGAHV,134MXYY8CZRHCQKN,mansion-deseo-api-production,mansion-deseo-api-production,websocket:message,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,websocket,websocket:message,undefined,undefined,undefined
"[route-metrics] {""windowMs"":60915,""requestCount"":5,""routes"":[{""method"":""GET"",""route"":""/api/profiles"",""count"":1,""avgMs"":476,""maxMs"":476,""statusCounts"":{""200"":1}},{""method"":""GET"",""route"":""/api/stories"",""count"":1,""avgMs"":310,""maxMs"":310,""statusCounts"":{""200"":1}},{""method"":""GET"",""route"":""/api/profiles/:id"",""count"":1,""avgMs"":617,""maxMs"":617,""statusCounts"":{""200"":1}},{""method"":""GET"",""route"":""/api/messages"",""count"":1,""avgMs"":295,""maxMs"":295,""statusCounts"":{""200"":1}},{""method"":""GET"",""route"":""/api/messages/limit"",""count"":1,""avgMs"":303,""maxMs"":303,""statusCounts"":{""200"":1}}]}",cloudflare-workers,2026-04-03T01:57:40.946Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages/limit,GET,/api/messages/limit,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e6476c0fa8135c2,01KN8GYXEJNKN972BRKTF0BB7D,9e6476c0fa8135c2,GET /api/messages/limit,mansion-deseo-api-production,"[route-metrics] {""windowMs"":60915,""requestCount"":5,""routes"":[{""method"":""GET"",""route"":""/api/profiles"",""count"":1,""avgMs"":476,""maxMs"":476,""statusCounts"":{""200"":1}},{""method"":""GET"",""route"":""/api/stories"",""count"":1,""avgMs"":310,""maxMs"":310,""statusCounts"":{""200"":1}},{""method"":""GET"",""route"":""/api/profiles/:id"",""count"":1,""avgMs"":617,""maxMs"":617,""statusCounts"":{""200"":1}},{""method"":""GET"",""route"":""/api/messages"",""count"":1,""avgMs"":295,""maxMs"":295,""statusCounts"":{""200"":1}},{""method"":""GET"",""route"":""/api/messages/limit"",""count"":1,""avgMs"":303,""maxMs"":303,""statusCounts"":{""200"":1}}]}",f251d9341172cd4fa210cc7a0308adc6,cf-worker,b736bad4064d7d407ec5325526018f20,fetch,"[route-metrics] {""windowMs"":60915,""requestCount"":5,""routes"":[{""method"":""GET"",""route"":""/api/profiles"",""count"":1,""avgMs"":476,""maxMs"":476,""statusCounts"":{""200"":1}},{""method"":""GET"",""route"":""/api/stories"",""count"":1,""avgMs"":310,""maxMs"":310,""statusCounts"":{""200"":1}},{""method"":""GET"",""route"":""/api/profiles/:id"",""count"":1,""avgMs"":617,""maxMs"":617,""statusCounts"":{""200"":1}},{""method"":""GET"",""route"":""/api/messages"",""count"":1,""avgMs"":295,""maxMs"":295,""statusCounts"":{""200"":1}},{""method"":""GET"",""route"":""/api/messages/limit"",""count"":1,""avgMs"":303,""maxMs"":303,""statusCounts"":{""200"":1}}]}",undefined,undefined,undefined
GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/chat/ws/REDACTED?token=REDACTED.REDACTED.REDACTED&userId=REDACTED,cloudflare-workers,2026-04-03T01:57:40.791Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/chat/ws/REDACTED?token=REDACTED.REDACTED.REDACTED&userId=REDACTED,GET,/api/chat/ws/REDACTED,ok,mansion-deseo-api-production,fetch,durableObject,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e6476c12d058bea,01KN8H9PSTN3A97EPXMTP14TJ9,9e6476c12d058bea,GET /api/chat/ws/REDACTED,mansion-deseo-api-production,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/chat/ws/REDACTED?token=REDACTED.REDACTED.REDACTED&userId=REDACTED,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,fetch,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/chat/ws/REDACTED?token=REDACTED.REDACTED.REDACTED&userId=REDACTED,undefined,undefined,undefined
GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/chat/ws/REDACTED?token=REDACTED.REDACTED.REDACTED&userId=REDACTED,cloudflare-workers,2026-04-03T01:57:40.716Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/chat/ws/REDACTED?token=REDACTED.REDACTED.REDACTED&userId=REDACTED,GET,/api/chat/ws/REDACTED,canceled,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e6476c12d058bea,01KN8HA3H8QBXKPVT7KAEAY2TA,9e6476c12d058bea,GET /api/chat/ws/REDACTED,mansion-deseo-api-production,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/chat/ws/REDACTED?token=REDACTED.REDACTED.REDACTED&userId=REDACTED,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,fetch,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/chat/ws/REDACTED?token=REDACTED.REDACTED.REDACTED&userId=REDACTED,undefined,undefined,undefined
GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages/limit,cloudflare-workers,2026-04-03T01:57:40.643Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages/limit,GET,/api/messages/limit,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e6476c0fa8135c2,01KN8GYX53HQQ1WC4WNKHYKB64,9e6476c0fa8135c2,GET /api/messages/limit,mansion-deseo-api-production,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages/limit,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,fetch,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages/limit,undefined,undefined,undefined
GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,cloudflare-workers,2026-04-03T01:57:37.833Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,GET,/api/messages,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e6476af698c35c2,01KN8GYTD9GTNJEADKDBZAYPZM,9e6476af698c35c2,GET /api/messages,mansion-deseo-api-production,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,fetch,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,undefined,undefined,undefined
GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/profiles/REDACTED,cloudflare-workers,2026-04-03T01:57:31.101Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/profiles/REDACTED,GET,/api/profiles/REDACTED,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e6476855a0e35c2,01KN8GYKTXE0NK0WG9RB3A60CS,9e6476855a0e35c2,GET /api/profiles/REDACTED,mansion-deseo-api-production,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/profiles/REDACTED,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,fetch,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/profiles/REDACTED,undefined,undefined,undefined
GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/stories?page=1&limit=100,cloudflare-workers,2026-04-03T01:57:02.975Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/stories?page=1&limit=100,GET,/api/stories,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e6475d59f3735c2,01KN8GXRBZJ3C09B014SZJXV74,9e6475d59f3735c2,GET /api/stories,mansion-deseo-api-production,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/stories?page=1&limit=100,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,fetch,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/stories?page=1&limit=100,undefined,undefined,undefined
GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/profiles,cloudflare-workers,2026-04-03T01:57:01.221Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/profiles,GET,/api/profiles,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e6475ca990935c2,01KN8GXPN533W8A8TTE18FACBY,9e6475ca990935c2,GET /api/profiles,mansion-deseo-api-production,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/profiles,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,fetch,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/profiles,undefined,undefined,undefined
"[route-metrics] {""windowMs"":87229,""requestCount"":2,""routes"":[{""method"":""GET"",""route"":""/api/messages"",""count"":2,""avgMs"":305,""maxMs"":309,""statusCounts"":{""200"":2}}]}",cloudflare-workers,2026-04-03T01:56:40.031Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,GET,/api/messages,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e6475443f3a35c2,01KN8GX1YZFYPZDZ4PQJAR5WQX,9e6475443f3a35c2,GET /api/messages,mansion-deseo-api-production,"[route-metrics] {""windowMs"":87229,""requestCount"":2,""routes"":[{""method"":""GET"",""route"":""/api/messages"",""count"":2,""avgMs"":305,""maxMs"":309,""statusCounts"":{""200"":2}}]}",f251d9341172cd4fa210cc7a0308adc6,cf-worker,b736bad4064d7d407ec5325526018f20,fetch,"[route-metrics] {""windowMs"":87229,""requestCount"":2,""routes"":[{""method"":""GET"",""route"":""/api/messages"",""count"":2,""avgMs"":305,""maxMs"":309,""statusCounts"":{""200"":2}}]}",undefined,undefined,undefined
GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,cloudflare-workers,2026-04-03T01:56:39.722Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,GET,/api/messages,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e6475443f3a35c2,01KN8GX1NASH4BY1B6ACZBSKNA,9e6475443f3a35c2,GET /api/messages,mansion-deseo-api-production,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,fetch,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,undefined,undefined,undefined
GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,cloudflare-workers,2026-04-03T01:55:36.793Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,GET,/api/messages,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e6473badd6435c2,01KN8GV46S4TAF0CS0XHGKC9A2,9e6473badd6435c2,GET /api/messages,mansion-deseo-api-production,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,fetch,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,undefined,undefined,undefined
"[route-metrics] {""windowMs"":60469,""requestCount"":2,""routes"":[{""method"":""GET"",""route"":""/api/messages"",""count"":2,""avgMs"":305,""maxMs"":311,""statusCounts"":{""200"":2}}]}",cloudflare-workers,2026-04-03T01:55:12.802Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,GET,/api/messages,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e6473230ad335c2,01KN8GTCS2SR5JCJYDT4BVFQZK,9e6473230ad335c2,GET /api/messages,mansion-deseo-api-production,"[route-metrics] {""windowMs"":60469,""requestCount"":2,""routes"":[{""method"":""GET"",""route"":""/api/messages"",""count"":2,""avgMs"":305,""maxMs"":311,""statusCounts"":{""200"":2}}]}",f251d9341172cd4fa210cc7a0308adc6,cf-worker,b736bad4064d7d407ec5325526018f20,fetch,"[route-metrics] {""windowMs"":60469,""requestCount"":2,""routes"":[{""method"":""GET"",""route"":""/api/messages"",""count"":2,""avgMs"":305,""maxMs"":311,""statusCounts"":{""200"":2}}]}",undefined,undefined,undefined
GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,cloudflare-workers,2026-04-03T01:55:12.504Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,GET,/api/messages,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e6473230ad335c2,01KN8GTCFRK430NV240W7D424M,9e6473230ad335c2,GET /api/messages,mansion-deseo-api-production,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,fetch,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/messages,undefined,undefined,undefined
